Mount Yates,-16.36667,128.13333
Yatala Shoal,-35.75,138.16667
Yatala Reef,-32.65,132.58333
Yatala Channel,-32.2,133.56667
Yarunga Creek,-12.13333,134.83333
Yartoo Reservoir,-32.43333,135.43333
Yartoo Out Station,-32.33333,135.35
Yarterberrie Rockholes,-32.7,135.65
Yarrum,-17.81667,139.55
Yarrowie Creek,-33.1,138.35
Yarrie Well,-21.98333,138.98333
Yarrie,-20.67447,120.2061
Yarri,-29.78333,122.35
Yarrenbullia Waterhole,-24.63333,113.88333
Yarra Yarra Lakes,-29.66667,115.8
Yarra Yarra Creek,-25.95,115.93333
Yarrawurta Cliff,-30.16667,137.2
Yarrawolya Pool,-26.81667,115.53333
Yarrawinga Waterhole,-21.06667,139.45
Yarra Well,-26.1,116.16667
Yarrara Well,-31.1,123.81667
Yarraquin Well,-27.55,118.18333
Yarraquin,-27.41667,117.98333
Yarranna Hill,-31.9,134.63333
Yarrandine,-28.26667,128.36667
Yarramony Siding,-31.5,116.71667
Yarrameedie,-26.1,117.21667
Yarraman Creek,-21.18333,139.68333
Yarraloola,-21.5698,115.8789
Yarrakin Well,-31.83333,117.4
Yarragil Brook,-32.81667,116.11667
Yarrada Hill,-17.28333,123.93333
Yarrabubba Well,-26.33333,118.06667
Yarrabubba,-27.13333,118.78333
Yarrabolina Hill,-29.58333,135.96667
Yarrabiddie Well,-25,114.56667
Lake Yarowinie,-27.62839,139.70085
Yaroona Hill,-27.45866,130.17075
Yaroona,-35.13333,138.66667
Yarnup Swamp,-34.38333,116.86667
Yarna Water,-32.01667,135.18333
Yarna Hill,-32.03333,135.16667
Yarlot Well,-29.05,118.2
Yarlot Well,-28.6,117.55
Yarloop,-32.95372,115.89693
Yarloo Creek,-27.86667,120.01667
Yarlingulla Well,-27.55,118.11667
Yarling Brook,-32.66667,117.53333
Yarley,-32.25,137.81667
Yarle Lakes,-30.24862,131.48584
Yarlbrinda Well,-31.95,134.73333
Yarlbrinda Hill,-31.95,134.73333
Yarlarweelor Creek,-25.23333,118.08333
Yarlarweelor,-25.57703,117.9931
Yaringie Hill,-32.06667,135.66667
Yaringa South,-26.2,114.26667
Yaringa North,-25.93333,114.3
Yaringa Creek,-21.03333,138.45
Yaringa Bore,-20.93333,138.51667
Yarinda Hill,-32.2,135.81667
Yarinda,-35.83333,139.55
Yarima Tank,-32.43333,134.75
Yard Yarding Spring,-31.95,118.01667
Yardoo Rock,-27.46667,117.13333
Yardogarra Well,-18.33333,122.06667
Yardlowie Hill,-32.4,139.7
Yarding,-31.91667,117.98333
Yardina Soak,-31.68333,122.2
Yardina Rock,-31.68333,122.21667
Yardilla Tank,-31.95,122.9
Yardie Creek,-22.31667,113.8
Yardie Creek,-21.88333,114
Yardiacco Hill,-28.75,118.3
Yarder Gully,-28.2,114.38333
Yardea Well,-32.41667,135.98333
Mount Yardea,-32.37122,135.51643
Yardea,-32.38333,135.53333
Yard Creek,-18.91667,139.7
Yardarino Station,-29.2,115.03333
Yara Spring,-16.85,124.4
Yaralla,-35.41667,138.63333
Yaralin,-34.13333,139.93333
Mount Yaragner,-24.49565,115.9047
Yaragadee,-29.08333,115.4
Yappo Creek,-21.23333,139.11667
Yappala Hill,-31.88333,138.31667
Yapoona Creek,-32.55,138.18333
Yanyarrie Creek,-32.33333,138.48333
Yanyare Well,-20.85,116.51667
Yanyare River,-20.83333,116.5
Yantiranna Pool,-23.28333,116.01667
Yanthangarra Pool,-28.3,117.15
Yantea Well,-31.83333,135.51667
Yantanabie,-32.48333,134.63333
Yanrey,-22.50759,114.7955
Yanoning Rock,-30.58333,118.51667
Yann Pool,-20.21667,119.16667
Yanneymooning,-30.7,118.56667
Yanneri Pool,-24.43333,119.7
Yannarie River,-22.46667,114.8
Yannapaira Waterhole,-14.31667,134.65
Yanmah,-34.18333,116.01667
Yankie Tank,-24.1,113.95
Yankee Spring,-15.76667,127.55
Yankaninna,-30.35,139.01667
River Yankalilla,-35.48333,138.28333
Yankalilla,-35.45705,138.34982
Lake Yaninee,-32.98642,135.24075
Yaninee,-32.95,135.26667
Yangya,-33.23333,138.41667
Yangoonabie Bore,-31.46667,130.06667
Yanget Pool,-24.85,113.65
Yanget Pool,-24.78333,114.26667
Yanget Hills,-28.66667,114.9
Yangedine Brook,-31.96667,116.81667
Yanganooka Well,-27.98333,114.2
Yanganooka Hill,-28.28333,114.61667
Yangan Hill,-30.43333,122.45
Mount Yangalee,-26.74494,135.61325
Lake Yandiya,-28.55827,138.72807
Yandinga Well,-32.58333,135.33333
Yandina Hill,-30.31667,139.03333
Yandil Soak,-26.46667,119.81667
Yandilgunna Spring,-24.91667,118.61667
Yandilgunna Pool,-24.91667,118.61667
Yandil,-26.36035,119.8245
Yandie Well,-27.06667,116.38333
Yandie Well,-23.48333,115.43333
Yandicoogina Creek,-22.8,119.26667
Yandicoogina Creek,-21.06667,119.96667
Yandicoogina,-21.41667,120.16667
Yandiah,-32.96667,138.33333
Yandi,-27.75847,114.8003
Yandhanoo Hill,-29.55,117.21667
Yandhalia Rockhole,-26.16667,115.95
Yandeyarra,-21.23333,118.41667
Yandeyarra,-21.28505,118.4038
Yandedong Well,-20.26667,119.28333
Yandayarra Well,-27.75,118.51667
Yandanunyah Rockhole,-22.4,121.41667
Yandanooka,-29.31667,115.55
Yandan,-30.75,115.58333
Yandallah Creek,-31.08333,123.81667
Yandal Lagoon,-27.68333,121.15
Yandal,-27.55,121.11667
Yandaja Waterhole,-21.71667,116.05
Yandagooge Creek,-22.15,122.13333
Yancy Lake,-30.81667,115.73333
Yanchep Beach,-31.55333,115.6256
Yanchep,-31.54678,115.63171
Yanawinda Brook,-31.03333,116.2
Yampoopie Well,-18.83333,139.96667
Yampi Sound,-16.13333,123.63333
Yampi Canal,-16.15,123.73333
Yammara Creek,-29.38333,117.71667
Yam Hill,-22.03333,130.41667
Yam Hill,-20.8,128.58333
Yamerina Well,-20.48333,118.13333
Yam Creek,-13.43333,131.55
Yamboongunna Pool,-24.93333,118.7
Yambetharra Pool,-23.56667,114.01667
Yambarren Range,-15.21667,130.4
Yamballup Creek,-34.65,117.58333
Yamamilla Creek,-20.36667,139.96667
Yalwarra Lagoon,-14.73333,134.7
Yalura Well,-25.45,135.38333
Yalura,-26.85,119.28333
Yalungadunna,-26.23333,127.88333
Yalthoo Spring,-27.61667,114.21667
Yalteebarrabarra,-28.95,135.38333
Yaltaordla Hill,-31.66667,138.6
Yalpara,-32.53333,138.93333
Yalong Well,-27.66667,116.88333
Yaloginda Station,-26.66667,118.43333
Yaloginda,-26.71667,118.51667
Yalodinya,-32.83333,123.41667
Yalobia Well,-24.25,114.03333
Yalobia Well,-23.21667,113.76667
Yalobra Hill,-23.20139,113.78056
Yalobia,-24.26667,114.05
Yallurnie Waterhole,-30.83333,121.93333
Yallunda Flat,-34.35,135.88333
Yallum Hill,-25.36667,122.43333
Yallowboyango,-28.83333,117.88333
Yallote,-27.45,118.96667
Yallobup Swamp,-33.81667,120.45
Yallmunging,-31.33333,116.85
Yallingup,-33.7,115.1
Yallingup,-33.65,115.03333
Yalleen,-21.83333,116.38333
Yalleen,-21.65,116.66667
Yallawun Pool,-28.28333,119.3
Yallawun Creek,-28.3,119.3
Yallawery Well,-24.28333,116.95
Yallarrie Well,-24.21667,115.63333
Yalla Rockhole,-31.41667,131.63333
Yallari Well,-31.11667,121.4
Yallantharrow Well,-27.98333,118.1
Yallamungie Pool,-18.06667,124.33333
Yallalong,-27.42735,115.5156
Yallahbiddy Well,-27.45,119.33333
Yallaburra Soak,-31.38333,121.98333
