Country Name,IsCountry,Country Code,Region,Population Total,Population Density (people per sq. km of land area),Population Growth (%),Population Urban (% of total),Birth Rate (per 1000 people),Death Rate (per 1000 people),Life Expectancy (years),Migration,Literacy Rate (% of people ages 15+),Unemployment (% of labor force),Land Area (sq. km),GDP,GDP per Capita,GDP Growth (%),Trade (% of GDP),Debt Total,Debt per Captia,Debt per GDP (%),Internet Users,Internet Rate (per 100 people),Electricity Rate (% of population),Electricity Production (kWh),Electricity Coal (kWh),Electricity Water,Electricity Gas,Electricity Nuclear,Electricity Oil,Electricity Renewable,Emissions CO2 (kg per PPP $ of GDP),Roads Density (km of road per 100 sq. km),Roads Passengers (mln passenger-km),Air Passengers,Railways Passengers (mln passenger-km),Motor Vehicles (per 1000 people),Hospital Beds (per 1000 people),Telephone Lines (per 100 people),Mobile Phones (per 100 people),Armed Forces Rate (% of labor force),Armed Forces Total
Japan,yes,JPN,Asia,127561489,350,-0.08,92,8,9.5,83,350000,,4.3,365000,5.94E+12,46548,4.65,31,3.02E+12,24000,60,36108452,28.4,,1.04E+12,2.81E+11,83197000000,3.74E+11,1.02E+11,1.05E+11,1.27E+11,0.271,89.1,,98900000,245000,590,,50.5,97,0.4,260000
Jordan,yes,JOR,Asia,6318000,68,2.19,83,28,3.72,73,400000,,12.2,88800,31015239496,4909,2.34,121,8345000000,903,20,197095,2.81,99,14647000000,,55000000,3958000000,,10623000000,66000000,0.312,7.95,,3440000,504,168,,6.2,103,6.72,116000
Kazakhstan,yes,KAZ,Asia,16791425,6,1.41,54,23,8.94,68,,,5.3,2700000,2.04E+11,12120,7.3,78,1.06E+11,6060,68,1592100,9.78,,86586000000,70220000000,7883000000,7940000000,,543000000,7883000000,0.793,3.52,126000,4060000,18500,219,,26.8,122,0.78,70500
Kenya,yes,KEN,Africa,43178141,72,2.69,24,36,9.16,60,-50000,,9.2,569000,40264403585,933,5.8,73,9526000000,200,25,42931,0.1,18,7849000000,,3451000000,,,2569000000,5280000000,0.149,10.7,,4650000,,24,,0.58,61,0.17,29100
Kiribati,yes,KIR,Oceania,100786,121,1.52,44,23,6.1,68,-1000,,,810,174984469,1736,-0.5,117,10000000,120,14,1000,0.99,,,,,,,,,0.376,,,,,,1.3,8.93,11,,
Korea North,yes,PRK,Asia,24763188,203,0.53,61,14,9.09,69,,,4.6,120000,,,,,12500000000,544,,,,26,21630000000,7850000000,13200000000,,,580000000,13200000000,,,,100000,,,,4.77,2,9.14,1380000
Korea South,yes,KOR,Asia,50004441,509,0.46,84,10,5.1,81,300000,,3.2,97100,1.22E+12,24454,6.5,110,4.37E+11,7567,37,18252201,37.2,,5.20E+11,2.25E+11,4598000000,1.16E+11,1.55E+11,16631000000,7479000000,0.378,106,79400,40000000,21600,363,,61.4,105,2.56,660000
Kosovo,yes,KSV,Europe,1807106,163,0.8,,18,7.1,70,,,,10900,6445460830,3567,3.2,71,,,,,,,5801000000,5675000000,105000000,,,21000000,105000000,,63.9,,,,113,,,,,
Kuwait,yes,KWT,Asia,3250496,168,4.84,98,21,2.98,74,300000,96,1.5,17800,1.83E+11,56367,-2.37,94,28210000000,15754,43,47000,1.45,100,57457000000,,,21841000000,,35616000000,,0.394,37.1,,3480000,,528,,15.7,133,1.36,22600
Kyrgyzstan,yes,KGZ,Asia,5607200,28,1.19,36,28,6.6,69,-175000,,8.4,192000,6605133551,1178,-0.47,146,3666000000,699,81,48114,0.88,,15158000000,482000000,14139000000,537000000,,,14139000000,0.429,,7210,495000,76,,4.79,8.93,99,0.78,20400
Laos,yes,LAO,Asia,6645827,28,2.02,35,27,6.41,67,-75000,,1.3,231000,9386913253,1412,8.53,85,5599000000,900,91,7547,0.11,63,,,,,,,,0.0766,20.1,2560,878000,,,,6.77,63,3.89,129000
Latin America & Caribbean (all income levels),no,LCN,,608545904,30,1.14,79,18,5.88,74,-3110000,,6.6,20100000,5.95E+12,9773,5.67,50,,,,50124083,8.38,94,1.48E+12,75951000000,7.70E+11,3.26E+11,32119000000,1.52E+11,8.36E+11,0.219,16.6,,217000000,,,2,18.1,96,0.85,2470000
Latin America & Caribbean (developing only),no,LAC,,581379260,30,1.16,79,18,5.85,74,-3020000,,6.56,19200000,5.47E+12,9404,5.86,49,,,,46511252,8.14,94,1.35E+12,56332000000,7.43E+11,3.03E+11,32119000000,1.43E+11,8.02E+11,0.211,16.8,,199000000,,,1.99,18,96,0.83,2330000
Latin America and the Caribbean,no,LCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and the Caribbean (IFC classification),no,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,yes,LVA,Europe,2034319,34,-2.08,68,10,14.3,74,-10000,,14.9,62200,28372577697,13947,-0.34,,35340000000,18527,146,481100,23.3,,6094000000,2000000,2887000000,3014000000,,1000000,3077000000,0.206,108,14300,2890000,89,319,5.9,24.3,110,0.51,5310
Least developed countries: UN classification,no,LDC,,877943413,42,2.3,29,33,9.71,60,-4920000,,5.8,20200000,7.16E+11,815,5.46,65,,,,1484170,0.17,32,1.67E+11,1434000000,64125000000,45926000000,,15532000000,64259000000,0.14,,,22900000,,,,0.99,34,0.78,3170000
Lebanon,yes,LBN,Asia,4424888,424,2.19,87,13,4.41,79,500000,,8.9,10200,43205095854,9764,8,134,32640000000,8815,88,451000,9.71,100,16365000000,,805000000,,,15560000000,805000000,0.295,,,2150000,,,,18.7,66,4.89,80000
Lesotho,yes,LSO,Africa,2051545,66,0.95,28,28,16,48,-20000,,26.5,30400,2328196275,1135,7.09,162,715400000,255,30,1451,0.07,17,,,,,,,,0.0042,,,,,,,2.47,49,0.23,2000
Liberia,yes,LBR,Africa,4190435,41,3.51,49,36,9.45,59,-20000,,3.7,96300,1733828405,414,10.9,122,400300000,65,22,,,,,,,,,,,0.299,,,,,,,0,40,0.14,2050
Libya,yes,LBY,Africa,6154623,3,1.27,78,21,4.17,75,-239000,90,8.9,1760000,81873662519,13303,5,,5278000000,972,9,67300,1.09,100,27614000000,,,15550000000,,12064000000,,0.329,,,1400000,,,,13.2,180,0.3,7000
Liechtenstein,yes,LIE,Europe,36656,226,0.75,14,10,6.6,82,,,,160,,,,,,,,11189,30.5,,,,,,,,,,,,,,831,,50.4,98,,
Lithuania,yes,LTU,Europe,2987773,49,-2.1,67,10,13.6,73,-28400,,13.2,62700,42343521966,14172,1.33,,32840000000,9995,80,640305,21.1,,4246000000,,480000000,2667000000,,209000000,1113000000,0.223,126,34900,593000,403,560,7,22.3,159,1.52,23400
Low & middle income,no,LMY,,5743616071,71,1.3,46,21,7.86,68,-17000000,,5.5,78400000,2.31E+13,4014,7.65,60,,,,293651166,5.15,77,1.00E+13,5.31E+12,1.98E+12,1.55E+12,3.07E+11,4.56E+11,2.24E+12,0.418,27.6,,1010000000,,,2.31,10.6,68,0.79,21100000
Low income,no,LIC,,830035274,53,2.19,28,32,9.63,61,-4340000,,5.14,15000000,5.27E+11,635,6.34,63,,,,1204923,0.15,30,1.91E+11,11542000000,81231000000,44723000000,,7428000000,83206000000,0.189,,,22600000,,,,0.96,33,0.98,3720000
Lower middle income,no,LMC,,2523370023,119,1.54,39,23,8.09,66,-10300000,,5.24,20600000,5.03E+12,1994,7.62,61,,,,35685015,1.41,73,2.23E+12,9.44E+11,3.87E+11,4.80E+11,1.31E+11,1.76E+11,4.68E+11,0.304,49.1,,257000000,,,,5.39,71,0.81,8230000
Luxembourg,yes,LUX,Europe,530946,196,1.83,86,11,7.4,81,25600,,5.1,2590,55143457330,103859,3.1,325,2.64E+12,3696467,3443,169700,32.4,,2645000000,,58000000,2340000000,,1000000,242000000,0.254,,7400,781000,373,739,,50.9,143,0.6,1510
Macao,yes,MAC,Asia,556783,19100,2.46,100,10,4.76,80,35000,,2,28,42981497744,77196,27.5,160,,,,144596,26,,,,,,,,,0.0199,1480,,1560000,,165,,29.2,210,,
Macedonia,yes,MKD,Europe,2105575,83,0.08,59,11,9.42,75,-5000,98,31,25200,9576482628,4548,2.9,130,6740000000,2668,60,288406,13.7,,6876000000,5286000000,1433000000,87000000,,69000000,1434000000,0.455,54.2,1440,,,168,4.5,19.4,102,0.83,8000
Madagascar,yes,MDG,Africa,22293914,36,2.81,33,35,7.4,63,-5000,,3.6,582000,9880703883,443,-0.37,69,2631000000,140,36,8667,0.04,17,,,,,,,,0.07,6.38,,588000,,,,1.09,37,0.19,21600
Malawi,yes,MWI,Africa,15906483,159,2.98,16,40,12.4,54,,,7.6,94300,4240492849,267,-9.53,,1214000000,77,24,1197,0.01,9,,,,,,,,0.114,,,53500,,,1.3,1.43,21,0.09,6800
Malaysia,yes,MYS,Asia,29239927,86,1.73,73,18,4.62,75,450000,,3.1,329000,3.05E+11,10432,7.43,162,95550000000,2570,31,2459900,8.41,99,1.30E+11,52983000000,7623000000,58158000000,,9977000000,8968000000,0.383,43.7,,39200000,3290,361,1.79,15.7,120,1.05,134000
Maldives,yes,MDV,Oceania,338442,1090,1.87,42,22,3.48,77,-53,,11.3,300,2113179304,6244,7.06,224,1015000000,2947,50,17858,5.28,,,,,,,,,0.315,,,,,28,,6.84,152,,
Mali,yes,MLI,Africa,14853572,12,3.1,36,47,14,54,-302000,,8.1,1220000,10340794110,696,5.82,69,2725000000,254,88,3196,0.02,,,,,,,,,0.0273,,,182000,,,,0.75,53,0.15,7800
Malta,yes,MLT,Europe,419455,1300,0.49,95,10,7.3,81,4510,,6.4,320,8740973918,20839,2.71,,48790000000,14233,72,132821,31.1,,2194000000,,,,,2181000000,11000000,0.234,,2700,1540000,,693,4.44,53.7,107,1.14,2130
Marshall Islands,yes,MHL,Oceania,52555,291,0.17,72,,,,,,,180,173000000,3292,5.6,,87000000,1377,54,,,,,,,,,,,0.58,,,,,,,,,,
Mauritania,yes,MRT,Africa,3796141,4,2.62,42,34,8.97,61,-20000,,31,1030000,3958701369,1043,4.3,162,2922000000,831,37,6697,0.18,,,,,,,,,0.234,1.03,,325000,,,,1.71,77,1.71,20900
Mauritius,yes,MUS,Africa,1291167,631,0.46,42,11,7.1,73,,,7.9,2030,11442063228,8862,4.11,121,2942000000,3937,52,139000,11.2,99,,,,,,,,0.215,102,,1310000,,174,3.4,28.2,97,0.41,2500
