Country Name,IsCountry,Country Code,Region,Population Total,Population Density (people per sq. km of land area),Population Growth (%),Population Urban (% of total),Birth Rate (per 1000 people),Death Rate (per 1000 people),Life Expectancy (years),Migration,Literacy Rate (% of people ages 15+),Unemployment (% of labor force),Land Area (sq. km),GDP,GDP per Capita,GDP Growth (%),Trade (% of GDP),Debt Total,Debt per Captia,Debt per GDP (%),Internet Users,Internet Rate (per 100 people),Electricity Rate (% of population),Electricity Production (kWh),Electricity Coal (kWh),Electricity Water,Electricity Gas,Electricity Nuclear,Electricity Oil,Electricity Renewable,Emissions CO2 (kg per PPP $ of GDP),Roads Density (km of road per 100 sq. km),Roads Passengers (mln passenger-km),Air Passengers,Railways Passengers (mln passenger-km),Motor Vehicles (per 1000 people),Hospital Beds (per 1000 people),Telephone Lines (per 100 people),Mobile Phones (per 100 people),Armed Forces Rate (% of labor force),Armed Forces Total
Afghanistan,yes,AFG,Asia,29824536,44,2.46,24,35,8.68,60,-400000,,8.6,652000,20506795254,688,8.43,45,1280000000,92,22,1500,0.01,30,,,,,,,,0.181,3.55,230,1740000,,28,,0.3,46,4.5,338000
Albania,yes,ALB,Europe,2801681,104,-0.96,54,13,6.6,77,-50000,,14.7,27400,12344532541,4406,3.5,85,5281000000,882,23,160000,5.06,,4159000000,,4158000000,,,1000000,4158000000,0.158,,7900,814000,32,121,2.43,9.87,86,1.21,14800
Algeria,yes,DZA,Africa,38481705,16,1.85,74,25,5.8,71,-50000,,9.8,2380000,2.04E+11,5310,3.6,65,4344000000,115,3,1154748,3,99,51224000000,,502000000,47906000000,,2816000000,502000000,0.272,4.77,,4080000,1040,114,,8.4,88,2.6,317000
American Samoa,yes,ASM,Oceania,55128,278,-1.09,93,,,,,,,200,,,,,,,,,,,,,,,,,,,,,56100,,,,18.1,,,
Andean Region,no,ANR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,yes,ADO,Europe,78360,166,-0.96,87,10,2.8,,,,,470,3163000000,40365,,,1299993000,15212,41.1,26905,34.3,,,,,,,,,,,,,,,,48.9,84,,
Angola,yes,AGO,Africa,20820525,16,3.24,60,45,14.9,51,65500,71,7.5,1250000,1.15E+11,5539,3.41,101,19650000000,944,21,42344,0.2,40,5651000000,,4007000000,,,1644000000,4007000000,0.225,,,1130000,,,,1,48,1.53,117000
Antigua and Barbuda,yes,ATG,North America,89069,198,1.08,30,17,6.27,75,-56,99,,440,1194074074,13406,-7.18,98,458000000,4388,36,4130,4.64,,,,,,,,,0.292,,,1310000,,,2.1,37.2,193,,180
Arab World,no,ARB,Asia,362466629,26,2.23,57,26,6.02,70,354000,,10.82,13600000,2.76E+12,7627,5.37,97,,,,9443733,2.86,88,8.99E+11,11679000000,30111000000,5.51E+11,,2.10E+11,32881000000,0.317,8.91,,152000000,,,,9.57,88,2.92,3540000
Argentina,yes,ARG,South America,41086927,15,0.87,93,17,7.73,76,-100000,98,7.2,2740000,6.03E+11,14680,9.14,30,3.34E+11,7759,44.8,5147626,12.5,97,1.30E+11,3238000000,31564000000,66638000000,6371000000,19591000000,33717000000,,,35900,9380000,8590,,4.5,23,141,0.55,104000
Armenia,yes,ARM,Asia,2969081,104,-0.16,64,14,8.61,74,-50000,100,18.5,28500,9958217880,3354,2.2,74,6435000000,1584,56,206753,6.96,,7433000000,,2489000000,2390000000,2548000000,,2492000000,0.223,26.1,2510,365000,50,,3.95,19.7,130,3.32,49100
Aruba,yes,ABW,South America,102384,564,0.18,47,10,7.91,75,1250,,,180,,,,,478600000,4935,21,,,,,,,,,,,,,,,,,,35.2,130,,
Australia,yes,AUS,Oceania,22723900,3,1.56,89,14,6.5,82,750000,,5.2,7680000,1.53E+12,67436,1.96,43,1.51E+12,52596,95,5611000,24.3,,2.53E+11,1.73E+11,16756000000,49658000000,,4103000000,25520000000,0.433,10.7,319000,66400000,,698,,45.4,100,0.47,56200
Austria,yes,AUT,Europe,8429991,102,0.29,68,9,9.2,80,150000,,4.3,82400,3.94E+11,46792,1.77,111,8.84E+11,90128,200,2118000,25,,62160000000,7321000000,34180000000,12394000000,,1011000000,40815000000,0.197,131,84700,14500000,10400,578,7.6,39.9,146,0.52,22800
Azerbaijan,yes,AZE,Asia,9295784,110,1.19,54,19,5.9,71,,100,5.4,82700,68730906314,7394,4.85,79,4042000000,8513,6,1280535,13.8,,20294000000,,2676000000,17280000000,,338000000,2676000000,0.323,21.9,16600,1560000,591,107,4.55,18.5,100,1.73,82000
Bahamas,yes,BHS,North America,371960,36,1.68,84,15,5.9,75,9670,,13.6,10000,8149004000,21908,0.99,108,16680000000,1067,6,,,,,,,,,,,0.308,,,1050000,,,2.9,36.3,119,0.39,850
Bahrain,yes,BHR,Asia,1317827,1650,4.91,89,16,2.31,76,22100,,7.4,760,30362317939,23040,4.34,124,25270000000,13261,65,173968,13.2,99,13826000000,,,13826000000,,,,0.486,542,,5860000,,352,,22.7,125,2.62,19500
Bangladesh,yes,BGD,Asia,154695368,1160,1.08,29,20,5.9,70,-2040000,59,4.5,130000,1.16E+11,750,6.07,55,36210000000,149,23,600461,0.39,47,44061000000,780000000,872000000,40308000000,,2101000000,872000000,0.177,,,2200000,7310,3,0.6,0.62,45,0.29,221000
Barbados,yes,BRB,North America,283221,652,0.5,45,13,9.29,75,2000,,11.6,430,4224850000,14917,0.25,97,4490000000,2456,22,66884,23.6,,,,,,,,,0.357,,,,,,,50.6,125,0.37,610
Belarus,yes,BLR,Europe,9464000,47,-0.18,75,12,14.5,70,-10000,,9.7,203000,63615445567,6722,7.74,158,1067000000,2629,45,2530945,26.9,,32192000000,8000000,42000000,31638000000,,341000000,150000000,0.426,41.6,10200,943000,8980,321,11.3,46.9,109,3.53,158000
Belgium,yes,BEL,Europe,11128246,361,1.14,98,11,9.6,80,150000,,7.5,30300,4.83E+11,43396,2.34,171,1.42E+12,113603,266,3679196,33.3,,89008000000,5375000000,196000000,25438000000,48234000000,290000000,8377000000,0.262,504,133000,9510000,10800,559,6.53,41.9,111,0.63,30700
Belize,yes,BLZ,North America,324060,14,2.49,45,24,4.59,73,7600,,7.9,22800,1572500000,4852,3.85,,1457000000,3079,75,9973,3.08,,,,,,,,,0.168,,,448000,,,1.1,7.84,63,0.75,1050
Benin,yes,BEN,Asia,10050702,84,2.87,46,37,9.84,59,-10000,,1,113000,7543183759,751,2.55,,953500000,308,43,4623,0.05,28,154000000,,,,,153000000,1000000,0.341,,,58300,,,,1.56,74,0.23,9450
Bermuda,yes,BMU,North America,64798,1300,-0.78,100,12,7.74,79,,,,50,5473536000,84471,-2.09,,160000000,2575,5,,,,,,,,,,,0.132,,,,,427,,106,136,,
Bhutan,yes,BTN,Asia,741822,19,1.74,36,20,6.67,67,10000,,2.1,38400,1861157558,2509,11.7,101,1275000000,1193,64,16766,2.26,,,,,,,,,0.104,18,,193000,,60,1.8,3.64,55,,
Bolivia,yes,BOL,South America,10496285,9,1.62,67,26,7.29,66,-125000,94,3.2,1080000,27035110130,2576,4.13,85,5604000000,275,15,110600,1.05,80,7222000000,,2347000000,4514000000,,115000000,2593000000,0.294,7.38,,2210000,,,1.1,8.38,71,1.69,83200
Bosnia and Herzegovina,yes,BIH,Europe,3833916,75,-0.2,49,9,9.64,76,-5000,98,28.2,51000,16853238733,4396,0.7,86,9051000000,2052,48,406776,10.6,,15280000000,10806000000,4387000000,49000000,,38000000,4387000000,0.929,44.3,1860,24900,55,214,,23.1,81,0.72,10500
Botswana,yes,BWA,Africa,2003910,3,0.9,62,24,17.4,46,20000,87,17.7,567000,14537490553,7255,8.59,103,1968000000,1208,16,18838,0.94,45,372000000,372000000,,,,,,0.204,,,415000,,159,,8.01,120,1.03,10500
Brazil,yes,BRA,South America,198656019,23,0.89,85,15,6.39,73,-190000,91,6.9,8460000,2.25E+12,11320,7.53,27,4.28E+11,1608,15,18186476,9.15,99,5.32E+11,12379000000,4.28E+11,25095000000,15659000000,14796000000,4.63E+11,0.156,18.6,,94800000,,,2.3,22.3,101,0.68,713000
Brunei,yes,BRN,Oceania,412238,76,1.55,76,16,2.97,78,1760,95,3.8,5270,16953952625,41127,2.6,113,,,,19849,4.81,100,3725000000,,,3686000000,,37000000,2000000,0.33,52.5,,1040000,,277,2.79,17.2,109,4.7,9250
Bulgaria,yes,BGR,Europe,7305888,68,-0.66,74,10,14.9,74,-50000,,12.3,109000,51303659418,7022,0.4,136,43240000000,6261,90,1306251,17.9,,50023000000,27537000000,2917000000,2077000000,16314000000,137000000,3935000000,0.419,17.5,10600,973000,1880,393,6.4,29.3,138,1.41,47300
Burkina Faso,yes,BFA,Africa,16460141,57,2.91,27,41,12,55,-125000,,3.3,274000,10726305450,652,7.94,62,2442000000,136,23,14328,0.09,15,,,,,,,,0.0779,5.57,,126000,,12,,0.86,37,0.15,11500
Burundi,yes,BDI,Africa,9849569,360,3.37,11,45,13.6,53,-20000,,7.7,25700,2472384813,251,3.79,46,231700000,167,202,487,0,,,,,,,,,0.0469,,,,,,1.9,0.18,18,1.12,51000
Cabo Verde,yes,CPV,Africa,494401,121,0.39,63,20,5.17,74,-17200,85,7.6,4030,1757304419,3554,1.47,87,741300000,714,52,19853,4.02,,,,,,,,,0.124,,,598000,,,,14.2,76,0.52,1200
Cambodia,yes,KHM,Asia,14864646,81,1.55,20,26,6.12,71,-175000,,1.5,177000,14054443213,945,5.96,,5071000000,304,37,29734,0.2,31,1053000000,34000000,45000000,,,951000000,68000000,0.118,,,509000,,,0.7,3.93,57,2.27,191000
Cameroon,yes,CMR,Africa,21699631,44,2.56,53,38,12.6,54,-50000,,3.8,473000,26472637887,1220,3.34,58,3343000000,164,15,13846,0.06,49,5996000000,,4397000000,439000000,,1098000000,4459000000,0.145,10.5,,248000,495,,,3.4,42,0.27,23200
Canada,yes,CAN,North America,34754312,4,1.11,81,11,7.1,81,1100000,,7.2,9090000,1.82E+12,52409,3.37,62,1.33E+12,29625,64,11314190,32.5,,6.37E+11,76364000000,3.76E+11,62111000000,93589000000,6531000000,3.97E+11,0.367,,,70500000,2780,,,50.7,76,0.34,66000
Caribbean small states,no,CSS,,6964458,17,0.65,43,16,7.78,71,-123000,,12.25,405000,65276329430,9373,0.45,,,,,522147,7.85,,,,101000000,8843000000,,4744000000,421000000,0.723,,,5920000,,,,17.6,114,0.42,12500
Cayman Islands,yes,CYM,North America,57570,231,2.25,100,13,2.8,,,,,240,,,,,79000000,2078,7,19325,33.6,,,,,,,,,,,,,,613,,65,181,,
Central African Republic,yes,CAF,Africa,4525209,7,1.94,39,34,16.2,48,10000,,7.5,623000,2169706411,479,6.64,33,469500000,270,68,,,,,,,,,,,0.0687,3.26,,,,,1,0.02,23,0.38,8150
Central Europe and the Baltics,no,CEB,,104429039,95,-0.23,62,10,11.4,75,121000,,9.98,1100000,1.32E+12,12620,2.18,108,,,,18448911,17.4,,4.76E+11,2.74E+11,37386000000,40363000000,93655000000,5209000000,62336000000,0.342,105,29400,32500000,1880,424,6.42,21.6,121,1.04,520000
Chad,yes,TCD,Africa,12448175,9,3.03,22,46,15.4,50,-120000,37,7.8,1260000,12887072082,1035,13.6,69,1749000000,160,21,19454,0.16,,,,,,,,,0.0209,,,52000,,,,0.22,25,0.76,34900
Channel Islands,no,CHI,,161235,840,0.6,31,10,9.03,80,3650,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,yes,CHL,South America,17464814,23,0.93,89,14,5.45,79,30000,,6.4,744000,2.66E+11,15245,5.76,68,1.02E+11,5867,38,2154162,12.3,99,65713000000,19619000000,21009000000,13719000000,,6355000000,26020000000,0.231,10.3,,12900000,840,184,2.1,18.8,116,1.25,106000
China,yes,CHN,Asia,1350695000,143,0.48,52,12,7.11,75,-1500000,,4.5,9330000,8.23E+12,6093,10.4,52,3.00E+12,2221,37.5,175183000,12.7,100,4.72E+12,3.72E+12,6.99E+11,84022000000,86350000000,7857000000,8.03E+11,0.684,41.8,1500000,318000000,796000,58,3.8,20.2,63,0.38,2990000
Colombia,yes,COL,South America,47704427,42,1.39,76,19,5.53,73,-120000,,10.4,1110000,3.70E+11,7763,3.97,38,85140000000,1269,20,3893674,8.16,97,61822000000,2142000000,48878000000,8255000000,,507000000,50918000000,0.154,17.8,,22000000,,,1.4,15,96,1.91,440000
Comoros,yes,COM,Africa,717503,367,2.52,28,36,9.19,60,-10000,76,7,1860,595898770,831,2.05,,485400000,430,115,1233,0.17,,,,,,,,,0.14,,,,,,,3.34,24,,
Congo Dem. Rep.,yes,ZAR,Africa,65705093,27,2.78,35,43,16.2,49,-75000,,7.2,2270000,27452795398,418,7.08,,7644000000,197,122,5059,0.01,15,7882000000,,7847000000,29000000,,6000000,7847000000,0.0789,,,472000,22,,,0.09,19,0.52,134000
Congo Rep.,yes,COG,Africa,4337051,12,2.88,64,38,11.1,57,-45400,,7.1,342000,13677929162,3154,8.75,,7644000000,1722,155,362,0.01,37,1293000000,,791000000,493000000,,9000000,791000000,0.0909,,,704000,207,,,0.34,90,0.68,12000
Costa Rica,yes,CRI,North America,4805295,92,1.47,65,15,4.17,79,64300,,7.6,51100,45374788701,9443,4.95,79,12040000000,1874,24,448066,9.32,99,9833000000,,7135000000,,,863000000,8970000000,0.138,78.2,,1770000,,180,1.2,20.7,67,0.43,9800
Cote d'Ivoire,yes,CIV,Africa,19839750,60,2,52,37,14.9,50,50000,41,4,318000,24680372724,1244,2.36,105,4742000000,527,51,46167,0.23,59,6099000000,,1774000000,4228000000,,33000000,1838000000,0.113,,,39500,,,,1.39,82,,
Croatia,yes,HRV,Europe,4267558,79,-0.26,58,10,11.8,77,-20000,,15.8,56000,56155732957,13159,-2.27,87,64250000000,13519,99,890324,20.7,,10702000000,2582000000,4491000000,2621000000,,752000000,4747000000,0.252,51.8,3280,1870000,1100,380,5.98,37.9,114,1.05,19600
Cuba,yes,CUB,North America,11270957,106,-0.06,75,10,7.45,79,-140000,100,2.4,106000,,,2.39,,22360000000,1780,34,5013,0.04,97,17755000000,,99000000,2055000000,,7691000000,567000000,0.19,,6610,1310000,,,5.1,10.8,9,1.42,75500
Curacao,yes,CUW,North America,152056,336,2.32,,13,8.4,,14100,,,444,,,,,,,,35230,22.7,,,,,,,,,,,,,,,,41.1,138,,
Cyprus,yes,CYP,Europe,1128994,119,1.2,71,12,6.86,79,35000,,11.8,9240,22766912960,26352,1.3,,1.07E+11,37812,129,217072,19.2,,4929000000,,,,,4751000000,178000000,0.299,135,7200,1290000,,532,3.5,33.1,94,2.15,12800
Czech Republic,yes,CZE,Europe,10510785,136,0.29,73,10,10.2,77,200000,,7,77200,1.96E+11,18690,2.47,150,90180000000,8260,45,1748090,16.4,,86753000000,49888000000,1963000000,1171000000,28283000000,99000000,7247000000,0.411,166,79900,3590000,6910,486,6.8,19.9,123,0.51,26800
Denmark,yes,DNK,Europe,5591572,131,0.44,87,10,9.8,79,75000,,7.5,42400,3.15E+11,56364,1.39,105,6.27E+11,101084,180,2171998,38.8,,35171000000,13966000000,17000000,5811000000,,452000000,14164000000,0.204,172,67400,,7640,480,,41.1,116,0.59,17200
Djibouti,yes,DJI,Africa,859652,36,1.47,77,28,9.25,60,-16000,,,23200,1353632942,1575,4.45,,802900000,573,56,14907,1.73,,,,,,,,,0.247,,,,,,,2.32,20,4.4,13000
Dominica,yes,DMA,North America,71684,95,0.24,67,,8.26,,,,,750,495555556,6913,1.2,89,253800000,3000,75,8500,11.9,,,,,,,,,0.195,121,,,,,3.8,22.7,148,,
Dominican Republic,yes,DOM,North America,10276621,207,1.33,70,21,5.99,73,-140000,90,13,48300,58920504571,5733,7.75,59,16580000000,1162,25,446681,4.35,97,12975000000,1992000000,1531000000,3251000000,,6174000000,1558000000,0.205,,,28400,,,1.7,11,89,1.32,61000
East Asia & Pacific (all income levels),no,EAS,,2233723905,91,0.67,54,14,7,74,-994000,,4.47,24300000,2.03E+13,9077,6.95,64,,,,262410087,11.7,92,7.62E+12,4.79E+12,9.19E+11,1.01E+12,3.85E+11,2.16E+11,1.12E+12,0.483,28.7,,809000000,,115,3.55,20.9,74,0.68,8630000
East Asia & Pacific (developing only),no,EAP,,1991555125,124,0.71,50,14,6.92,74,-3060000,,4.5,15900000,1.03E+13,5187,9.7,65,,,,191806831,9.62,92,5.41E+12,3.95E+12,7.85E+11,3.52E+11,86350000000,72140000000,9.15E+11,0.578,37.1,,526000000,,65,3.56,17,70,0.64,7180000
East Asia and the Pacific (IFC classification),no,CEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,yes,ECU,South America,15492264,60,1.64,68,21,4.96,76,-30000,,4.5,248000,84039856000,5425,2.95,64,20030000000,995,25,818718,5.28,92,20266000000,,11133000000,1935000000,,6632000000,11699000000,0.246,,,4760000,,71,1.6,14.9,99,0.79,58500
Egypt,yes,EGY,Africa,80721874,78,1.68,44,24,6.65,71,-216000,74,11.9,995000,2.63E+11,3256,5.15,43,34880000000,391,14,2287249,2.83,100,1.57E+11,,12934000000,1.17E+11,,24676000000,14892000000,0.252,13.7,,9080000,40800,,,10.6,91,3.07,836000
El Salvador,yes,SLV,North America,6297394,300,0.56,65,20,6.51,72,-225000,,6.9,20700,23813600000,3782,1.36,70,12840000000,1953,53,242100,3.84,92,5805000000,,2011000000,,,1977000000,3828000000,0.142,34.5,,2520000,,97,1,16.8,124,1.19,32300
Equatorial Guinea,yes,GNQ,Africa,736296,25,2.81,40,36,14.2,52,20000,95,7.6,28100,16486743747,22391,-1.3,158,1232000000,634,6,1480,0.2,,,,,,,,,0.199,,,317000,,,,2.02,57,0.34,1320
Eritrea,yes,ERI,Africa,6130922,57,3.24,22,37,7.45,61,55000,70,7.9,101000,3091967480,504,2.19,,1026000000,195,58,125,0,32,337000000,,,,,335000000,2000000,0.0842,,,,,,0.7,0.98,3,6.83,202000
