Date,Open,High,Low,Close,Volume
18-8-2008,27.78,28.05,27.55,27.69,35526900
15-8-2008,27.98,28.15,27.58,27.81,46231000
14-8-2008,27.82,28.28,27.56,27.91,47938800
13-8-2008,28.07,28.5,27.76,27.91,49559400
12-8-2008,27.78,28.36,27.58,28.12,61908800
11-8-2008,27.86,28.4,27.66,27.9,68084900
8-8-2008,27.35,28.23,27.19,28.13,79758500
7-8-2008,26.9,27.75,26.73,27.39,80676900
6-8-2008,26.73,27.16,26.38,27.02,93141000
5-8-2008,25.64,26.28,25.5,26.21,83435600
4-8-2008,25.39,25.54,25.11,25.28,55635700
1-8-2008,25.92,25.95,25.07,25.44,78639100
31-7-2008,25.85,26.28,25.71,25.72,59042200
30-7-2008,26.2,26.49,25.9,26.23,51419000
29-7-2008,25.52,26.19,25.4,26.11,59558100
28-7-2008,26.06,26.11,25.34,25.5,58227600
25-7-2008,25.64,26.22,25.5,26.16,57432500
24-7-2008,26.09,26.17,25.44,25.44,78787000
23-7-2008,25.86,26.84,25.85,26.43,76086700
22-7-2008,25.54,25.94,25.48,25.8,87769600
21-7-2008,25.66,26.17,25.53,25.64,74220300
18-7-2008,26.36,26.47,25.11,25.86,44703500
17-7-2008,27.58,27.91,27.11,27.52,87407700
16-7-2008,26.13,27.29,25.92,27.26,78982200
15-7-2008,24.93,26.64,24.93,26.15,91697600
14-7-2008,25.48,25.81,25.07,25.15,50790700
11-7-2008,25.16,25.64,24.87,25.25,67105100
10-7-2008,25.2,25.67,24.98,25.45,55598000
9-7-2008,25.78,25.85,25.18,25.23,52965900
8-7-2008,25.92,26.2,25.51,25.85,64933400
7-7-2008,26.11,26.39,25.45,26.03,69505000
3-7-2008,25.97,26.1,25.6,25.98,35213800
2-7-2008,26.9,27,25.88,25.88,82098100
1-7-2008,27.26,27.38,23.19,26.87,92057100
30-6-2008,27.73,27.98,27.49,27.51,56270100
27-6-2008,27.68,27.91,27.46,27.63,65599400
26-6-2008,28.03,28.2,27.74,27.75,62968300
25-6-2008,27.81,28.67,27.76,28.35,62461800
24-6-2008,27.92,28.01,27.51,27.73,64473600
