eqid,lon,region,depth,src,nst,version,datetime,lat,magnitude
2010zsa4,175.613400000000000,"Rat Islands, Aleutian Islands, Alaska",11.300000000000000,us,226,6,Sun Aug 08 00:00:00 -0400 2010,50.713700000000000,5.000000000000000
2010zsbp,-74.016800000000000,"off the coast of Libertador O'Higgins, Chile",10.000000000000000,us,13,6,Sun Aug 08 00:00:00 -0400 2010,-34.885599999999900,4.600000000000000
2010ztal,113.006699999999000,"Java, Indonesia",594.899999999999000,us,88,6,Sun Aug 08 00:00:00 -0400 2010,-6.103800000000000,5.200000000000000
2010ztaj,94.795100000000000,eastern Xizang,52.799999999999900,us,44,6,Sun Aug 08 00:00:00 -0400 2010,30.250100000000000,5.000000000000000
2010vsc1,-177.727599999999000,Bering Sea,15.699999999999900,us,232,6,Fri Apr 30 00:00:00 -0400 2010,60.523699999999900,6.000000000000000
2010zsa2,23.671299999999900,Greece,9.600000000000000,us,41,6,Sun Aug 08 00:00:00 -0400 2010,40.523600000000000,4.500000000000000
2010vsbj,122.470600000000000,"Panay, Philippines",65.099999999999900,us,21,6,Fri Apr 30 00:00:00 -0400 2010,10.795900000000000,4.500000000000000
2010zsbn,-94.298199999999900,"Oaxaca, Mexico",65.400000000000000,us,45,7,Sun Aug 08 00:00:00 -0400 2010,16.294300000000000,4.400000000000000
2010ztaw,94.907700000000000,eastern Xizang,35.000000000000000,us,14,7,Mon Aug 09 00:00:00 -0400 2010,30.699600000000000,4.400000000000000
2010zta3,-72.700400000000000,"Araucania, Chile",34.100000000000000,us,69,6,Mon Aug 09 00:00:00 -0400 2010,-38.540599999999900,5.100000000000000
2010zuaq,167.977800000000000,Vanuatu,35.000000000000000,us,231,6,Mon Aug 09 00:00:00 -0400 2010,-17.589900000000000,7.500000000000000
2010vsa6,-168.313400000000000,"Fox Islands, Aleutian Islands, Alaska",39.100000000000000,us,67,7,Fri Apr 30 00:00:00 -0400 2010,52.746499999999900,4.400000000000000
2010zuap,-72.694100000000000,central Peru,87.099999999999900,us,161,6,Mon Aug 09 00:00:00 -0400 2010,-14.079300000000000,5.000000000000000
2010vscx,-177.901499999999000,Bering Sea,15.100000000000000,us,264,6,Fri Apr 30 00:00:00 -0400 2010,60.643799999999900,6.300000000000000
2010vsaw,-66.874499999999900,"Salta, Argentina",169.500000000000000,us,36,6,Thu Apr 29 00:00:00 -0400 2010,-24.364500000000000,4.400000000000000
2010vsax,152.552300000000000,Kuril Islands,82.700000000000000,us,21,7,Thu Apr 29 00:00:00 -0400 2010,46.861499999999900,4.300000000000000
2010vrar,-73.595900000000000,"offshore Bio-Bio, Chile",35.000000000000000,us,81,6,Thu Apr 29 00:00:00 -0400 2010,-36.793599999999900,5.100000000000000
2010ztbq,-174.708100000000000,Tonga,27.199999999999900,us,100,6,Mon Aug 09 00:00:00 -0400 2010,-20.897300000000000,5.200000000000000
2010zuay,167.696599999999000,Vanuatu,36.799999999999900,us,31,6,Mon Aug 09 00:00:00 -0400 2010,-17.444800000000000,5.300000000000000
2010zuad,142.228700000000000,"Bonin Islands, Japan region",10.000000000000000,us,82,6,Mon Aug 09 00:00:00 -0400 2010,28.570699999999900,5.100000000000000
2010zuau,143.121700000000000,"off the east coast of Honshu, Japan",21.100000000000000,us,252,6,Mon Aug 09 00:00:00 -0400 2010,39.456200000000000,5.800000000000000
2010ztb2,92.768199999999900,"Andaman Islands, India region",31.899999999999900,us,67,6,Mon Aug 09 00:00:00 -0400 2010,13.535800000000000,5.400000000000000
2010vsai,16.018999999999900,Poland,5.000000000000000,us,30,7,Thu Apr 29 00:00:00 -0400 2010,51.664099999999900,4.100000000000000
2010zubf,167.713500000000000,Vanuatu,35.000000000000000,us,12,6,Tue Aug 10 00:00:00 -0400 2010,-17.564599999999900,4.800000000000000
2010zubd,167.704599999999000,Vanuatu,35.000000000000000,us,13,6,Tue Aug 10 00:00:00 -0400 2010,-18.022600000000000,4.800000000000000
2010zuba,167.763499999999000,Vanuatu,35.000000000000000,us,27,6,Tue Aug 10 00:00:00 -0400 2010,-17.465800000000000,5.100000000000000
2010vra8,130.032399999999000,Banda Sea,137.800000000000000,us,20,7,Thu Apr 29 00:00:00 -0400 2010,-6.661400000000000,4.600000000000000
2010zucm,123.677700000000000,"Moro Gulf, Mindanao, Philippines",589.600000000000000,us,25,6,Tue Aug 10 00:00:00 -0400 2010,6.752100000000000,4.200000000000000
2010zubv,143.397899999999000,"off the east coast of Honshu, Japan",10.000000000000000,us,22,6,Tue Aug 10 00:00:00 -0400 2010,39.319499999999900,4.800000000000000
2010zua7,167.691100000000000,Vanuatu,35.000000000000000,us,11,6,Tue Aug 10 00:00:00 -0400 2010,-17.692100000000000,5.000000000000000
2010zucd,167.727699999999000,Vanuatu,35.000000000000000,us,15,6,Tue Aug 10 00:00:00 -0400 2010,-17.828299999999900,5.300000000000000
2010zubt,128.611099999999000,"Ryukyu Islands, Japan",49.500000000000000,us,71,6,Tue Aug 10 00:00:00 -0400 2010,28.706800000000000,5.100000000000000
2010zua3,167.396199999999000,Vanuatu,35.000000000000000,us,11,6,Tue Aug 10 00:00:00 -0400 2010,-17.968699999999900,4.300000000000000
2010zvan,167.728700000000000,Vanuatu,41.000000000000000,us,130,6,Tue Aug 10 00:00:00 -0400 2010,-17.381799999999900,6.000000000000000
2010vrcr,139.394900000000000,western Indian-Antarctic Ridge,10.400000000000000,us,35,6,Thu Apr 29 00:00:00 -0400 2010,-51.056699999999900,5.700000000000000
