Exchange,Symbol,Name,MarketCap,IPO,Sector,Industry
NYSE,LXP^C,Lexington Realty Trust,N/A,N/A,N/A,N/A
NYSE,LPL,LG Display Co. Ltd.,7.49B,2004,Capital Goods,Industrial Machinery/Components
NYSE,USA,Liberty All-Star Equity Fund,1.22B,1986,N/A,N/A
NYSE,ASG,Liberty All-Star Growth Fund Inc.,159.94M,N/A,N/A,N/A
NYSE,LBRT,Liberty Oilfield Services Inc.,2.74B,2018,Energy,Oilfield Services/Equipment
NYSE,LPT,Liberty Property Trust,6.34B,N/A,Consumer Services,Real Estate Investment Trusts
NYSE,LSI,Life Storage Inc.,4.24B,N/A,Consumer Services,Real Estate Investment Trusts
NYSE,LITB,LightInTheBox Holding Co. Ltd.,146.46M,2013,Consumer Services,Catalog/Specialty Distribution
NYSE,LNC,Lincoln National Corporation,15.25B,N/A,Finance,Life Insurance
NYSE,LNC.WS,Lincoln National Corporation,N/A,N/A,N/A,N/A
NYSE,LNN,Lindsay Corporation,1.06B,N/A,Capital Goods,Industrial Machinery/Components
NYSE,LN,LINE Corporation,8.34B,2016,Technology,Computer Software: Programming & Data Processing
NYSE,LKM,Link Motion Inc.,91.56M,2011,Technology,Computer Software: Prepackaged Software
NYSE,LGF.A,Lions Gate Entertainment Corporation,N/A,N/A,N/A,N/A
NYSE,LGF.B,Lions Gate Entertainment Corporation,N/A,2016,N/A,N/A
NYSE,LAD,Lithia Motors Inc.,2.42B,N/A,Consumer Durables,Automotive Aftermarket
NYSE,LAC,Lithium Americas Corp.,516.31M,N/A,Basic Industries,Precious Metals
NYSE,LYV,Live Nation Entertainment Inc.,9.2B,N/A,Consumer Services,Services-Misc. Amusement & Recreation
NYSE,LYG,Lloyds Banking Group Plc,63.78B,N/A,Finance,Commercial Banks
NYSE,SCD,LMP Capital and Income Fund Inc.,238.1M,2004,N/A,N/A
NYSE,LMT,Lockheed Martin Corporation,92.89B,N/A,Capital Goods,Military/Government/Technical
